,F,GM,KMX,TSLA
Date,,,,
5/16/2018,10.18284416,34.99074173,65.90000153,57.29600143
5/17/2018,10.2364378,35.23916626,66.72000122,56.90800095
5/18/2018,10.12031746,34.76992035,65.87000275,55.36399841
5/21/2018,10.28109932,35.04595566,66.47000122,56.89799881
5/22/2018,10.29003334,35.22076035,65.16000366,55.0019989
5/23/2018,10.21857262,34.82513046,66.01999664,55.81399918
5/24/2018,10.37935448,35.32197189,66.80999756,55.56999969
5/25/2018,10.28109932,35.23916626,67.27999878,55.77000046
5/29/2018,10.21857262,34.39269257,68.26999664,56.7519989
5/30/2018,10.31683064,34.80673218,69.25,58.34400177
5/31/2018,10.31683064,39.28752136,68.91999817,56.94599915
6/1/2018,10.45974731,39.74757004,69.88999939,58.36399841
6/4/2018,10.48654366,40.28121948,71.44999695,59.34799957
6/5/2018,10.56693459,39.94078445,71.62000275,58.22600174
6/6/2018,10.69198799,40.41922379,72.62000275,63.90000153
6/7/2018,10.74557972,40.84615707,73.08000183,63.2179985
6/8/2018,10.80810738,41.06890869,73.79000092,63.5320015
6/11/2018,10.74557972,41.62577438,73.81999969,66.41999817
6/12/2018,10.81703949,41.00394058,73.84999847,68.55400085
6/13/2018,10.73664951,41.25452805,73.08999634,68.95600128
6/14/2018,10.62053013,40.43778992,73.22000122,71.54399872
6/15/2018,10.61159611,40.7533493,72.38999939,71.63400269
6/18/2018,10.70985222,40.79047775,72.40000153,74.16600037
6/19/2018,10.62053013,39.22196579,72.75,70.51000214
6/20/2018,10.60266399,38.93425369,72.76999664,72.44400024
6/21/2018,10.45974731,38.16392136,71.05000305,69.5019989
6/22/2018,10.40615177,38.2845726,80.19000244,66.72599792
6/25/2018,10.27216816,37.69058228,76.72000122,66.60199738
6/26/2018,10.29003334,38.06182861,75.38999939,68.40000153
6/27/2018,10.2007103,37.46783447,74.30999756,68.90000153
6/28/2018,10.07565689,37.60705185,73.44999695,69.98600006
6/29/2018,9.88807869,36.56757736,72.87000275,68.58999634
7/2/2018,9.914875031,36.66038132,73.73999786,67.01399994
7/3/2018,9.816617966,36.16848373,74.19999695,62.17200089
7/5/2018,9.870213509,36.63253784,76.11000061,61.83200073
7/6/2018,9.879145622,36.34481812,76.41000366,61.77999878
7/9/2018,10.00419998,36.89241028,76.59999847,63.70199966
7/10/2018,10.04886055,37.20796967,76.54000092,64.4940033
7/11/2018,9.88807869,36.47475052,75.72000122,63.79199982
7/12/2018,9.870213509,36.44691467,76.56999969,63.34199905
7/13/2018,9.807686806,36.53044128,76.91999817,63.77399826
7/16/2018,9.691567421,36.71607208,77.25,62.02000046
7/17/2018,9.700498581,37.15227509,77.66999817,64.53800201
7/18/2018,9.709429741,37.00378036,77.37000275,64.76999664
7/19/2018,9.664770126,36.48404312,77.69999695,64.04599762
